p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ssus11-VDAC2	3.57687367847107e-79	-0.366609068432126	0.149	0.407	4.3158557804432e-75	0	Ssus11-VDAC2
Ssus11-TCN1	4.06253736336608e-79	-0.413762078465837	0.001	0.178	4.90185758263751e-75	0	Ssus11-TCN1
Ssus11-NPC2	4.89457793072079e-79	-0.542271056775172	0.179	0.423	5.9057977312077e-75	0	Ssus11-NPC2
Ssus11-SELENOH	1.23464109440982e-78	-0.338746142391105	0.116	0.361	1.48971794451488e-74	0	Ssus11-SELENOH
Ssus11-H2AZ2	3.20355101106758e-78	-0.352904410587361	0.139	0.394	3.86540464995415e-74	0	Ssus11-H2AZ2
Ssus11-MRPL57	3.5228709912893e-78	-0.358285499817106	0.34	0.608	4.25069613808967e-74	0	Ssus11-MRPL57
Ssus11-SUCLG1	1.10999205862156e-77	-0.388082337028624	0.143	0.391	1.33931641793277e-73	0	Ssus11-SUCLG1
Ssus11-DNASE1L1	1.40954966741953e-77	-0.376556532742482	0.103	0.337	1.70076262870841e-73	0	Ssus11-DNASE1L1
Ssus11-LTBP4	1.92348781034356e-77	0.639552084310603	0.543	0.419	2.32088039196054e-73	0	Ssus11-LTBP4
Ssus11-NDUFB6	2.8083121963026e-77	-0.346168276569614	0.16	0.423	3.38850949605872e-73	0	Ssus11-NDUFB6
Ssus11-DBI	3.39552877303745e-77	-0.323669535633545	0.209	0.496	4.09704501754699e-73	0	Ssus11-DBI
Ssus11-PLA2G7	1.02944309342362e-76	-0.298141756941489	0.088	0.321	1.24212603652494e-72	0	Ssus11-PLA2G7
Ssus11-MYDGF	1.16904383483873e-76	-0.347135722856353	0.084	0.307	1.41056829111641e-72	0	Ssus11-MYDGF
Ssus11-UNC93B1	1.40510901972073e-76	-0.397819554490094	0.074	0.289	1.69540454319503e-72	0	Ssus11-UNC93B1
Ssus11-LAPTM5	2.2746134342316e-76	-0.3657486677434	0.052	0.258	2.74454856974385e-72	0	Ssus11-LAPTM5
Ssus11-UBALD2	6.36473278685035e-76	-0.306053158984532	0.067	0.284	7.67968658061363e-72	0	Ssus11-UBALD2
Ssus11-ENSSSCG00000012046	7.22211454014824e-76	-0.286810486621899	0.073	0.293	8.71420340414286e-72	0	Ssus11-ENSSSCG00000012046
Ssus11-TOMM7	2.44356075418796e-75	-0.316095240854435	0.2	0.483	2.94840040600319e-71	0	Ssus11-TOMM7
Ssus11-COX3	1.80701926502695e-74	0.279346836881859	1	1	2.18034944518152e-70	0	Ssus11-COX3
Ssus11-POLR1D	1.87262834408397e-74	-0.297940873372647	0.195	0.474	2.25951335997172e-70	0	Ssus11-POLR1D
Ssus11-PLEKHO1	2.00990943036143e-74	-0.421865843729159	0.128	0.359	2.4251567186741e-70	0	Ssus11-PLEKHO1
Ssus11-CKB	2.73399764409342e-74	-0.420623469565945	0.106	0.333	3.29884155736312e-70	0	Ssus11-CKB
Ssus11-LAT2	2.79136779773776e-74	-0.437003165695033	0.092	0.309	3.36806438475038e-70	0	Ssus11-LAT2
Ssus11-MSRB1	2.85677281299645e-74	-0.312743175885411	0.139	0.387	3.44698207616152e-70	0	Ssus11-MSRB1
Ssus11-MRPL33	3.22340040070256e-74	-0.299787497665056	0.1	0.333	3.8893549234877e-70	0	Ssus11-MRPL33
Ssus11-C1QBP	3.61907817564254e-74	-0.294293810990879	0.107	0.341	4.36677972673029e-70	0	Ssus11-C1QBP
Ssus11-ENSSSCG00000039582	4.68326074998063e-74	-0.317892092913375	0.155	0.41	5.65082242092662e-70	0	Ssus11-ENSSSCG00000039582
Ssus11-ENSSSCG00000032916	7.02445661197534e-74	-0.298490538187378	0.167	0.434	8.47570934800945e-70	0	Ssus11-ENSSSCG00000032916
Ssus11-UBE2S	8.35717861288579e-74	-0.32481747495289	0.095	0.32	1.0083771714308e-69	0	Ssus11-UBE2S
Ssus11-SNRPG	9.60100235556234e-74	-0.376664537638931	0.128	0.363	1.15845694422215e-69	0	Ssus11-SNRPG
Ssus11-RPL23	2.07834682656699e-73	-0.342267803686229	0.981	0.981	2.50773328093573e-69	0	Ssus11-RPL23
Ssus11-HYPK	5.60005247484017e-73	-0.287928003049524	0.125	0.367	6.75702331614215e-69	0	Ssus11-HYPK
Ssus11-ENSSSCG00000039656	2.548802703907e-72	-0.381914091237195	0.094	0.31	3.07538534253418e-68	0	Ssus11-ENSSSCG00000039656
Ssus11-ENSSSCG00000037143	4.40172054976704e-72	-0.30348641773493	0.118	0.355	5.31111601534891e-68	0	Ssus11-ENSSSCG00000037143
Ssus11-GIMAP4	5.09651434997513e-72	-0.374060888341871	0.067	0.271	6.14945421467999e-68	0	Ssus11-GIMAP4
Ssus11-COMT	8.91065610936012e-72	-0.295226547463587	0.118	0.352	1.07515976615539e-67	0	Ssus11-COMT
Ssus11-ND4L	9.87760175535063e-72	-0.437705999141962	0.077	0.281	1.19183142780061e-67	0	Ssus11-ND4L
Ssus11-BST2	1.2887024192593e-71	-0.463022054861283	0.199	0.451	1.55494833907827e-67	0	Ssus11-BST2
Ssus11-ITGA5	2.36089253740446e-71	-0.340896842893261	0.211	0.482	2.84865293563222e-67	0	Ssus11-ITGA5
Ssus11-FMOD	2.55032597632671e-71	0.571179701405444	0.789	0.598	3.07722332303581e-67	0	Ssus11-FMOD
Ssus11-NKG7	3.48649383060008e-71	-0.307481930948659	0.021	0.199	4.20680345600206e-67	0	Ssus11-NKG7
Ssus11-NDUFB11	5.88342440325526e-71	-0.373244908591352	0.288	0.539	7.09893988496779e-67	0	Ssus11-NDUFB11
Ssus11-RPL18	7.54599853582446e-71	-0.358553076841982	0.998	0.995	9.1050018333258e-67	0	Ssus11-RPL18
Ssus11-S100A11	1.04998156368207e-70	-0.836914705921447	0.891	0.802	1.26690775473879e-66	0	Ssus11-S100A11
Ssus11-CIB1	1.42988575337343e-70	-0.316813405950921	0.08	0.292	1.72530015002038e-66	0	Ssus11-CIB1
Ssus11-CDH2	2.90589706007925e-70	-0.341159585631469	0.09	0.304	3.50625539269162e-66	0	Ssus11-CDH2
Ssus11-COL6A3	3.12958443240387e-70	0.374768265470945	0.938	0.722	3.77615657613852e-66	0	Ssus11-COL6A3
Ssus11-SOD1	3.72502211200663e-70	-0.288399539451892	0.165	0.423	4.4946116803472e-66	0	Ssus11-SOD1
Ssus11-ENSSSCG00000016990	3.99574117148412e-70	-0.351535024798082	0.114	0.338	4.82126129751274e-66	0	Ssus11-ENSSSCG00000016990
Ssus11-PRDX3	6.32866658808226e-70	-0.284993905362266	0.109	0.336	7.63616910518006e-66	0	Ssus11-PRDX3
Ssus11-NDUFAB1	1.10133049770375e-69	-0.363454783280847	0.219	0.474	1.32886537852935e-65	0	Ssus11-NDUFAB1
Ssus11-ANGPT4	1.16267678975694e-69	0.437913486923594	0.337	0.175	1.40288581452072e-65	0	Ssus11-ANGPT4
Ssus11-TMEM223	1.27892203095056e-69	-0.278426696190904	0.168	0.425	1.54314732254494e-65	0	Ssus11-TMEM223
Ssus11-MISP3	1.65433340667562e-69	-0.281228444340617	0.105	0.33	1.9961186884948e-65	0	Ssus11-MISP3
Ssus11-ENSSSCG00000035811	1.68048967094297e-69	-0.382083542562909	0.998	0.993	2.02767883695979e-65	0	Ssus11-ENSSSCG00000035811
Ssus11-RPL24	2.13860093766969e-69	-0.274029072819034	0.995	0.993	2.58043589139224e-65	0	Ssus11-RPL24
Ssus11-IGFBP7	2.61607081907376e-69	0.318463908447408	0.999	0.957	3.1565510502944e-65	0	Ssus11-IGFBP7
Ssus11-CCT7	2.76206839104161e-69	-0.277939706417795	0.153	0.403	3.3327117206308e-65	0	Ssus11-CCT7
Ssus11-PSMB2	2.88182890727515e-69	-0.285185976544931	0.115	0.345	3.47721475951819e-65	0	Ssus11-PSMB2
Ssus11-CISD3	3.51331613866665e-69	-0.274861320993557	0.188	0.457	4.23916725291518e-65	0	Ssus11-CISD3
Ssus11-NPM1	4.46340451535427e-69	-0.395319481019028	0.221	0.479	5.38554388822646e-65	0	Ssus11-NPM1
Ssus11-ABHD12	9.09496568863018e-69	-0.325132666213803	0.08	0.286	1.09739855999012e-64	0	Ssus11-ABHD12
Ssus11-ECI2	9.11145900868181e-69	-0.26436990563627	0.092	0.31	1.09938864398755e-64	0	Ssus11-ECI2
